Advertiser:,Staging Test
Date Range:,2016-07-10 - 2016-08-08

Total Campaign Impressions:,10740
Total Campaign Interactions:,159

Ad Name,Destination URL,Creative,Placement,Start Date,End Date,Impressions,Hovers,Clicks
Kyle Craft,http://dostuffdev.com/events/5008838,https://res.cloudinary.com/dostuff-media/image/upload/v1466546296/advertisement-86769-staging.jpg,Featured Event,2016-07-01,2016-08-19,2226,28,1
Groove Think with Kiddo and the Dude and Beat Bodega,http://dostuffdev.com/events/5008856,https://res.cloudinary.com/dostuff-media/image/upload/v1466546255/advertisement-86767-staging.jpg,Featured Event,2016-07-01,2016-08-04,2085,25,0
KASE and KVET Presents: Josh Abbott Band with Sam Riggs,http://dostuffdev.com/events/5008857,https://res.cloudinary.com/dostuff-media/image/upload/v1466546031/advertisement-86766-staging.jpg,Featured Event,2016-07-01,2016-08-26,1705,24,0
Joan Baez,http://dostuffdev.com/events/5008809,https://res.cloudinary.com/dostuff-media/image/upload/v1466546357/advertisement-86771-staging.jpg,Featured Event,2016-07-01,2016-10-13,1619,32,0
The Head and The Heart with Declan McKenna,http://dostuffdev.com/events/5008848,https://res.cloudinary.com/dostuff-media/image/upload/v1466546274/advertisement-86768-staging.jpg,Featured Event,2016-07-01,2016-10-28,1596,40,2
Trans Nation Queen USA 2016,http://dostuffdev.com/events/5008984,https://res.cloudinary.com/dostuff-media/image/upload/v1468047398/event-5008984-staging.jpg,Featured Venue,,2016-10-22,102,0,0
Live Nation Presents Gad Elmaleh,http://dostuffdev.com/events/5008966,https://res.cloudinary.com/dostuff-media/image/upload/v1467755695/event-5008966-staging.jpg,Featured Venue,,2016-09-09,102,1,0
AEG Live Presents Jim Jefferies,http://dostuffdev.com/events/5008967,https://res.cloudinary.com/dostuff-media/image/upload/v1467820899/event-5008967-staging.jpg,Featured Venue,,2016-09-16,102,0,0
Artillery & Theatre at Ace Hotel Present Marnie Weber’s The Day of Forevermore,http://dostuffdev.com/events/5008983,https://res.cloudinary.com/dostuff-media/image/upload/v1467755696/event-5008983-staging.jpg,Featured Venue,,2016-09-11,102,0,0
David Lynch's Festival of Disruption,http://dostuffdev.com/events/5008969,https://res.cloudinary.com/dostuff-media/image/upload/v1468002842/event-5008969-staging.jpg,Featured Venue,,2016-10-08,102,0,0
Play Nice,http://dostuffdev.com/events/5008986,https://res.cloudinary.com/dostuff-media/image/upload/v1467755689/event-5008986-staging.jpg,Featured Venue,,2016-08-18,102,0,0
Echo & the Bunnymen,http://dostuffdev.com/events/5008968,https://res.cloudinary.com/dostuff-media/image/upload/v1467927421/event-5008968-staging.jpg,Featured Venue,,2016-10-01,102,0,0
Alamo Drafthouse presents return of the trilogy,http://dostuffdev.com/events/5008964,https://res.cloudinary.com/dostuff-media/image/upload/v1467755689/event-5008964-staging.jpg,Featured Venue,,2016-08-06,99,0,0
The Echo Society Presents V,http://dostuffdev.com/events/5008965,https://res.cloudinary.com/dostuff-media/image/upload/v1467755690/event-5008965-staging.jpg,Featured Venue,,2016-08-31,93,1,0
Please Kill Me: 20th Anniversary Book Tour with Legs McNeil and Gillian McCain,http://dostuffdev.com/events/5008963,https://res.cloudinary.com/dostuff-media/image/upload/v1467755690/event-5008963-staging.jpg,Featured Venue,,2016-08-01,88,0,0
Le Bal: A One Night Only Drag Extravaganza,http://dostuffdev.com/events/5008961,https://res.cloudinary.com/dostuff-media/image/upload/v1467235904/event-5008961-staging.jpg,Featured Venue,,2016-07-29,78,1,0
Spaceland presents Tig Notaro,http://dostuffdev.com/events/5009030,https://res.cloudinary.com/dostuff-media/image/upload/v1467755685/event-5009030-staging.jpg,Featured Venue,,2016-07-30,78,1,0
"Monday Movie Nights Upstairs: Honey, I Shrunk The Kids",http://dostuffdev.com/events/5008960,https://res.cloudinary.com/dostuff-media/image/upload/v1467235904/event-5008960-staging.jpg,Featured Venue,,2016-07-25,53,1,0
Goldenvoice & The Bluegrass Situation Present Béla Fleck & Chris Thile,http://dostuffdev.com/events/5008959,https://res.cloudinary.com/dostuff-media/image/upload/v1467235903/event-5008959-staging.jpg,Featured Venue,,2016-07-20,48,1,0
Monday Movie Nights Upstairs: Howard The Duck,http://dostuffdev.com/events/5008958,https://res.cloudinary.com/dostuff-media/image/upload/v1467158218/event-5008958-staging.jpg,Featured Venue,,2016-07-18,47,1,0
Evil Dead in Concert / Live to Film,http://dostuffdev.com/events/5008920,https://res.cloudinary.com/dostuff-media/image/upload/v1466038757/event-5008920-staging.jpg,Featured Venue,,2016-10-25,35,0,0
Live Nation presents Ingrid Michaelson,http://dostuffdev.com/events/5008922,https://res.cloudinary.com/dostuff-media/image/upload/v1466038757/event-5008922-staging.jpg,Featured Venue,,2016-10-27,34,0,0
LA Opera Off Grand Presents Nosferatu: A Symphony of Horror,http://dostuffdev.com/events/5008970,https://res.cloudinary.com/dostuff-media/image/upload/v1468047401/event-5008970-staging.jpg,Featured Venue,,2016-10-29,29,0,0
Live Nation presents Amos Lee,http://dostuffdev.com/events/5008972,https://res.cloudinary.com/dostuff-media/image/upload/v1468047403/event-5008972-staging.jpg,Featured Venue,,2016-11-11,25,0,0
LA Opera Off Grand Presents Nosferatu: A Symphony of Horror,http://dostuffdev.com/events/5008971,https://res.cloudinary.com/dostuff-media/image/upload/v1468047401/event-5008971-staging.jpg,Featured Venue,,2016-10-31,25,0,0
black keys reunion show,http://dostuffdev.com/events/5009705,https://res.cloudinary.com/dostuff-media/image/upload/v1469633632/event-5009705-staging.jpg,Featured Venue,,2016-07-29,21,0,0
dope shit,http://dostuffdev.com/events/5009703,https://res.cloudinary.com/dostuff-media/image/upload/v1469633441/event-5009703-staging.jpg,Featured Venue,,2016-07-29,21,0,0
dope shit version 2,http://dostuffdev.com/events/5009704,https://res.cloudinary.com/dostuff-media/image/upload/v1469633439/event-5009704-staging.jpg,Featured Venue,,2016-07-29,21,0,0
